"sales__|","sales__|__datetime","sales__|__burger","sales__|__species","burger_sales__Krusty Combo","burger_sales__Krusty Deluxe","burger_sales__Krabby Pattie","species_sales__leatherback turtle","species_sales__salmon","species_sales__seahorse","species_sales__coral","species_sales__giant clam","species_sales__gray whale","species_sales__sea lion","burger_by_species__|","burger_by_species__|__leatherback turtle","burger_by_species__|__salmon","burger_by_species__|__seahorse","burger_by_species__|__coral","burger_by_species__|__giant clam","burger_by_species__|__gray whale","burger_by_species__|__sea lion"
"dgakr41DFv","2019-04-05 13:18:15","Krusty Deluxe","salmon","230","369","901","155","259","368","33","312","158","215","Krusty Combo","21","48","93","7","42","19","93"
"80mqa9NL7X","2019-04-05 13:19:27","Krusty Deluxe","salmon","","","","","","","","","","","Krabby Pattie","99","153","221","18","199","97","345"
"y2zWrDvwCW","2019-04-05 13:21:18","Krabby Pattie","seahorse","","","","","","","","","","","Krusty Deluxe","35","57","86","8","71","52","145"
"MGaWyxtSlE","2019-04-05 13:23:53","Krusty Deluxe","sea lion","","","","","","","","","","","","","","","","","",""
"W6QlKCR7xs","2019-04-05 13:25:36","Krusty Deluxe","seahorse","","","","","","","","","","","","","","","","","",""
"c3Mfzdj2ZY","2019-04-05 13:27:14","Krusty Combo","sea lion","","","","","","","","","","","","","","","","","",""
"Q0ckgeaMH8","2019-04-05 13:28:31","Krabby Pattie","leatherback turtle","","","","","","","","","","","","","","","","","",""
"KH98foqt15","2019-04-05 13:30:12","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"yjM9VS0YEd","2019-04-05 13:31:37","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"MNXtrl2hRt","2019-04-05 13:32:47","Krusty Combo","salmon","","","","","","","","","","","","","","","","","",""
"Bw6sdvJvwF","2019-04-05 13:34:33","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"AC7nUInZar","2019-04-05 13:38:26","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"vUBQPrnBYT","2019-04-05 13:40:22","Krabby Pattie","seahorse","","","","","","","","","","","","","","","","","",""
"gaCNezyoVE","2019-04-05 13:42:06","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"hM2XPjoH66","2019-04-05 13:43:21","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"FziS9MOSlO","2019-04-05 13:44:47","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"yYSJLpw1bf","2019-04-05 13:47:18","Krusty Deluxe","giant clam","","","","","","","","","","","","","","","","","",""
"K7Lu1XbBW9","2019-04-05 13:48:51","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"hOvdzZfI5f","2019-04-05 13:50:00","Krusty Combo","leatherback turtle","","","","","","","","","","","","","","","","","",""
"1SFF1gkTik","2019-04-05 13:52:24","Krusty Deluxe","gray whale","","","","","","","","","","","","","","","","","",""
"udK4h8pBzD","2019-04-05 13:53:37","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"5eulsmyUtn","2019-04-05 13:56:56","Krusty Combo","seahorse","","","","","","","","","","","","","","","","","",""
"tA09DekAJa","2019-04-05 13:58:38","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"UldjA0iA8I","2019-04-05 14:01:16","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"HttkvfnsBu","2019-04-05 14:02:46","Krusty Deluxe","leatherback turtle","","","","","","","","","","","","","","","","","",""
"9fXImLjZoZ","2019-04-05 14:04:31","Krabby Pattie","sea lion","","","","","","","","","","","","","","","","","",""
"ZSEU0POIlg","2019-04-05 14:05:33","Krabby Pattie","giant clam","","","","","","","","","","","","","","","","","",""
"W3PbDRih2s","2019-04-05 14:07:00","Krusty Combo","leatherback turtle","","","","","","","","","","","","","","","","","",""
"LZtV9tLQse","2019-04-05 14:09:04","Krabby Pattie","salmon","","","","","","","","","","","","","","","","","",""
"FI3gQJvjgQ","2019-04-05 14:11:19","Krusty Deluxe","salmon","","","","","","","","","","","","","","","","","",""
